       974,         1,         1,         0,         0,         1,         2,         1,         0,         0
         0,      1133,         2,         0,         0,         0,         0,         0,         0,         0
        10,         9,       996,         2,         0,         0,         0,        13,         2,         0
         0,         2,         4,       976,         1,        13,         1,         7,         3,         3
         1,         6,         0,         0,       950,         0,         4,         2,         0,        19
         6,         1,         0,        11,         2,       859,         5,         1,         3,         4
         5,         3,         0,         0,         3,         3,       944,         0,         0,         0
         0,        21,         5,         0,         1,         0,         0,       991,         0,        10
         8,         2,         4,        16,         8,        11,         3,         4,       914,         4
         4,         5,         2,         8,         9,         2,         1,         8,         2,       968
